,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,ISO,MPI Urban,Headcount Ratio Urban,Intensity of Deprivation Urban,MPI Rural,Headcount Ratio Rural,Intensity of Deprivation Rural
10,Bolivia,LATIN AMER. & CARIB    ,8989046,1098580,"8,2","0,00","-1,32","53,11",2400,"87,2","71,9","2,67","0,19","97,14","1,5","23,3","7,53","0,128","0,352","0,52",BOL,0.019,4.9,39.4,0.191,42.98,44.4
11,Bosnia & Herzegovina,EASTERN EUROPE                     ,4498976,51129,"88,0","0,04","0,31","21,05",6100,,"215,4","13,6","2,96","83,44",4,"8,77","8,27","0,142","0,308","0,55",BIH,0.002,0.6,36.5,0.002,0.44,38
12,Brazil,LATIN AMER. & CARIB    ,188078227,8511965,"22,1","0,09","-0,03","29,61",7600,"86,4","225,3","6,96","0,9","92,15",2,"16,56","6,17","0,084","0,4","0,516",BRA,0.016,4.1,38.3,0.054,11.96,45.1
13,Burkina Faso,SUB-SAHARAN AFRICA                 ,13902972,274200,"50,7","0,00",0,"97,57",1100,"26,6","7,0","14,43","0,19","85,38",2,"45,62","15,6","0,322","0,196","0,482",BFA,0.226,45.8,49.4,0.621,94.66,65.6
14,Burundi,SUB-SAHARAN AFRICA                 ,8090068,27830,"290,7","0,00","-0,06","69,29",600,"51,6","3,4","35,05","14,02","50,93",2,"42,22","13,46","0,463","0,203","0,334",BDI,0.209,43.1,48.5,0.481,84.91,56.6
15,Cambodia,ASIA (EX. NEAR EAST)         ,13881427,181040,"76,7","0,24",0,"71,48",1900,"69,4","2,6","20,96","0,61","78,43",2,"26,9","9,06","0,35","0,3","0,35",KHM,0.028,7.1,39.4,0.169,38.06,44.5
16,Cameroon,SUB-SAHARAN AFRICA                 ,17340702,475440,"36,5","0,08",0,"68,26",1800,"79,0","5,7","12,81","2,58","84,61","1,5","33,89","13,47","0,448","0,17","0,382",CMR,0.091,19.9,45.6,0.393,70.18,56
17,Chad,SUB-SAHARAN AFRICA                 ,9944201,1284000,"7,7","0,00","-0,11","93,82",1200,"47,5","1,3","2,86","0,02","97,12",2,"45,73","16,38","0,335","0,259","0,406",TCD,0.351,64.8,54.1,0.609,93.41,65.2
18,China,ASIA (EX. NEAR EAST)         ,1313973713,9596960,"136,9","0,15","-0,4","24,18",5000,"90,9","266,7","15,4","1,25","83,35","1,5","13,25","6,97","0,125","0,473","0,403",CHN,0.007,1.9,38.9,0.028,6.74,42.1
19,Colombia,LATIN AMER. & CARIB    ,43593035,1138910,"38,3","0,28","-0,31","20,97",6300,"92,5","176,2","2,42","1,67","95,91",2,"20,48","5,58","0,125","0,342","0,533",COL,0.009,2.3,37.2,0.061,14.44,42.6
20,Comoros,SUB-SAHARAN AFRICA                 ,690948,2170,"318,4","15,67",0,"74,93",700,"56,5","24,5","35,87","23,32","40,81",2,"36,93","8,2","0,4","0,04","0,56",COM,0.084,18.5,45.2,0.213,43.99,48.5
21,Cote d'Ivoire,SUB-SAHARAN AFRICA                 ,17654843,322460,"54,8","0,16","-0,07","90,83",1400,"50,9","14,6","9,75","13,84","76,41",2,"35,11","14,84","0,279","0,171","0,55",CIV,0.164,35,46.8,0.429,78.04,55
22,Djibouti,SUB-SAHARAN AFRICA                 ,486530,23000,"21,2","1,37",0,"104,13",1300,"67,9","22,8","0,04",0,"99,96",1,"39,53","19,31","0,179","0,225","0,596",DJI,0.127,27.2,46.6,0.44,83.18,52.9
23,Dominican Republic,LATIN AMER. & CARIB    ,9183984,48730,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4","22,65","10,33","67,02",2,"23,22","5,73","0,112","0,306","0,582",DOM,0.029,7.9,37.2,0.048,11.69,41
24,Ecuador,LATIN AMER. & CARIB    ,13547510,283560,"47,8","0,79","-8,58","23,66",3300,"92,5","125,6","5,85","4,93","89,22",2,"22,29","4,23","0,07","0,312","0,618",ECU,0.005,1.5,36.5,0.03,7.68,39.3
25,Egypt,NORTHERN AFRICA                    ,78887007,1001450,"78,8","0,24","-0,22","32,59",4000,"57,7","131,8","2,87","0,48","96,65",1,"22,94","5,23","0,149","0,357","0,493",EGY,0.008,2.1,36.8,0.017,4.39,38.5
26,El Salvador,LATIN AMER. & CARIB    ,6822378,21040,"324,3","1,46","-3,74","25,1",4800,"80,2","142,4","31,85","12,07","56,08",2,"26,61","5,78","0,099","0,302","0,599",SLV,0.01,2.4,40.3,0.052,12.51,41.8
27,Ethiopia,SUB-SAHARAN AFRICA                 ,74777981,1127127,"66,3","0,00",0,"95,32",700,"42,7","8,2","10,71","0,75","88,54",2,"37,98","14,86","0,475","0,099","0,426",ETH,0.23,46.4,49.5,0.637,96.27,66.2
28,Gabon,SUB-SAHARAN AFRICA                 ,1424906,267667,"5,3","0,33",0,"53,64",5500,"63,2","27,4","1,26","0,66","98,08",2,"36,16","12,25","0,061","0,592","0,348",GAB,0.044,10.9,40.7,0.209,46.55,44.8
29,Ghana,SUB-SAHARAN AFRICA                 ,22409572,239460,"93,6","0,23","-0,64","51,43",2200,"74,8","14,4","16,26","9,67","74,07",2,"30,52","9,72","0,366","0,246","0,387",GHA,0.075,17.6,42.7,0.235,49.42,47.5
30,Guatemala,LATIN AMER. & CARIB    ,12293545,108890,"112,9","0,37","-1,67","35,93",4100,"70,6","92,1","12,54","5,03","82,43",2,"29,88","5,2","0,227","0,188","0,585",GTM,0.048,10.7,44.5,0.161,35.05,45.9
31,Guinea,SUB-SAHARAN AFRICA                 ,9690222,245857,"39,4","0,13","-3,06","90,37",2100,"35,9","2,7","3,63","2,58","93,79",2,"41,76","15,48","0,237","0,362","0,401",GIN,0.176,37.7,46.6,0.591,92.61,63.9
